step,max_kl,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,collisions,collisions_human,fuel,circumference,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
0,0.01,0.0001,13.4003,2000,7.92505,7.63317,3.14697,7.93253,0,0,1548.22,640,-0.00326637,0.000296216,0.031016,0.0307221,0.00106675,0.0554676,0.00310359,-0.0307221,-0.0349921,0,0.00503164,2.88505,0.0549083,15.3443
1,0.01,0.0001,5.87702,0,0,0,0,0,0,0,0,640,-0.000884661,0.00120877,0.00434804,0.00313927,0.0162482,0.0558515,0.000316671,-0.0118095,-0.0123077,0,0.0049725,2.88064,0.0922503,127.432
2,0.01,0.0001,7.60174,297.533,3.87231,4.78372,2.11409,3.84916,0.933333,0.466667,257.615,640,-0.000167972,0.00126313,0.0120786,0.0108158,0.0184619,0.0502265,0.000751276,-0.0200298,-0.0217988,0,0.00564958,2.86887,0.0855498,153.716
3,0.01,0.0001,8.7828,758.333,5.16881,5.50912,2.41188,5.16009,1.33333,0.666667,605.278,640,3.66832e-05,0.0023019,0.0169048,0.0146029,0.0205816,0.0502408,0.000250882,-0.0113322,-0.0123179,0,0.00558892,2.85221,0.0786812,175.596
4,0.01,0.0001,9.23951,1000,3.3587,3.41331,2.22523,3.3573,0,0,956.362,640,-0.000327544,0.00327277,0.00947656,0.00619714,0.0323316,0.0548241,0.00042153,-0.0136247,-0.0143253,0,0.00622516,2.83578,0.0866833,264.351
5,0.01,0.0001,8.48738,539.909,2.74222,2.79291,1.49651,2.74092,0.363636,0.181818,454.808,640,7.53396e-05,0.00373349,0.0164811,0.0127473,0.0330237,0.0537692,0.000961466,-0.0278388,-0.0301838,0,0.00607438,2.82196,0.0644462,276.864
6,0.01,0.0001,8.35232,179,6.42844,15.1578,2.78477,6.20583,2,1,186.473,640,-0.000916858,0.00552317,0.0083918,0.00286863,0.0608322,0.060838,0.000113868,-0.0042542,-0.0047064,0,0.00609625,2.79454,0.0927238,325.378
7,0.01,0.0001,8.55034,652.833,5.10599,8.81448,3.15678,5.01161,1.33333,0.666667,573.803,640,-0.00013986,0.00547049,0.0137711,0.0082988,0.0615521,0.0575807,0.00080067,-0.0262193,-0.0287321,0,0.00616219,2.80355,0.0809457,337.497
8,0.01,0.0001,5.83288,0,0,0,0,0,0,0,0,640,-0.000267079,0.00696856,0.00981459,0.00284603,0.0740101,0.0662315,0.000773597,-0.0187459,-0.0199485,0,0.00598698,2.801,0.100266,388.051
9,0.01,0.0001,9.01167,817.333,4.82225,5.53334,2.98616,4.80406,1,0.5,701.441,640,0.000155407,0.00708557,0.0211664,0.0140742,0.0525273,0.0603619,0.00031694,-0.0124662,-0.0134114,0,0.00663625,2.7911,0.0910418,422.682
10,0.01,0.0001,7.49058,358.75,3.82071,3.97382,2.38662,3.81679,1,0.5,345.029,640,-3.35512e-05,0.00802033,0.0163023,0.00828192,0.0804292,0.0596767,0.000301887,-0.0131808,-0.0142448,0,0.00596117,2.77892,0.0911181,450.226
11,0.01,0.0001,9.09858,867,4.88879,5.33187,3.15388,4.87744,1.33333,0.666667,724.92,640,9.68473e-05,0.00893101,0.0189524,0.0100214,0.0645765,0.0624042,0.000181301,-0.00047129,-0.000967938,0,0.00608334,2.79277,0.105526,521.464
12,0.01,0.0001,7.75595,324,3.00519,3.35383,2.09508,2.99627,0.888889,0.444444,290.067,640,-0.000322123,0.00953009,0.00952776,-2.32964e-06,0.0711957,0.0646477,0.00044597,-0.0145517,-0.0163583,0,0.00704041,2.78433,0.0801864,539.441
13,0.01,0.0001,11.0686,1728.5,7.50964,7.43216,3.25083,7.51163,1,0.5,1414.66,640,0.00043022,0.0106515,0.0265697,0.0159264,0.0195617,0.0702226,0.000341313,-0.0139069,-0.0154542,0,0.00671941,2.77084,0.0999486,561.133
14,0.01,0.0001,10.6109,1311.5,7.61343,8.22994,3.31304,7.59763,2,1,1042.17,640,0.000558107,0.0112935,0.0261497,0.0148562,0.0527638,0.073892,0.000584686,-0.0192793,-0.0209879,0,0.00700153,2.75017,0.106914,583.97
15,0.01,0.0001,9.29694,1000,3.80448,3.7705,1.40542,3.80535,0,0,714.579,640,-0.000357012,0.0122481,0.0170727,0.00483507,0.0145924,0.0751885,0.000243864,-0.00319915,-0.00424598,0,0.00702257,2.7369,0.0833797,603.675
16,0.01,0.0001,9.30042,1000,3.46373,3.50695,1.72127,3.46262,0,0,837.134,640,-0.000159317,0.0130876,0.016534,0.00346172,0.0744453,0.0777661,0.00044549,-0.00457476,-0.00577928,0,0.007036,2.71217,0.114575,636.797
17,0.01,0.0001,9.90818,1072.75,5.52072,5.93152,1.99998,5.51023,0.5,0.25,838.757,640,-4.44463e-05,0.0135739,0.0224227,0.00886749,0.032561,0.0785623,0.0016624,-0.0357436,-0.0386564,0,0.00649887,2.72571,0.0865049,650.328
18,0.01,0.0001,11.7567,2000,6.6026,7.22214,3.41462,6.58672,0,0,1625.78,640,-0.000495053,0.0151792,0.0185989,0.00332686,0.0113437,0.0836418,0.000127607,-0.00332686,-0.00416572,0,0.00678435,2.69679,0.0878637,662.412
19,0.01,0.0001,5.78834,0,0,0,0,0,0,0,0,640,-0.00037989,0.0159043,0.00888973,-0.00701458,0.06981,0.0853724,0.000546808,-0.0133086,-0.0151023,0,0.00780013,2.69431,0.120067,691.618
20,0.01,0.0001,11.5805,1792.33,7.61424,7.67505,2.98384,7.61269,0.666667,0.333333,1361.11,640,0.000657939,0.0158922,0.0388515,0.0229604,0.0446784,0.0838442,0.00169244,-0.0362139,-0.0393724,0,0.00792032,2.66178,0.0917056,703.938
21,0.01,0.0001,11.879,2000,7.80925,7.69908,3.51708,7.81208,0,0,1584.58,640,0.000778094,0.017245,0.0427564,0.0254235,0.020545,0.0883465,0.000970403,-0.0254235,-0.0282044,0,0.00824959,2.61503,0.0905769,716.159
22,0.01,0.0001,7.00128,0,0,0,0,0,0,0,0,640,1.8741e-05,0.0184279,0.0138612,-0.00456664,0.134185,0.106773,0.000577239,-0.00848111,-0.00991033,0,0.00808596,2.60778,0.119094,749.535
23,0.01,0.0001,9.35144,1000.25,5.89628,,,5.89786,0.5,0.25,761.887,640,0.000115734,0.0185355,0.0274575,0.00895349,0.0704119,0.0977485,0.0006997,-0.0230574,-0.0258562,0,0.00789647,2.58228,0.0951576,761.777
24,0.01,0.0001,5.45654,0,0,0,0,0,0,0,0,640,-0.00218934,0.0207272,-0.00860911,-0.0293363,0.133082,0.0936692,0.00122969,-0.0174971,-0.0197409,0,0.00782953,2.51651,0.0982404,779.653
25,0.01,0.0001,12.3521,2000,8.10514,8.05104,2.81634,8.10652,0,0,1435.95,640,0.000895738,0.0205592,0.0537715,0.0331584,0.0223893,0.0892702,0.00145813,-0.0335989,-0.0369591,0,0.00768572,2.52289,0.0959001,792.796
26,0.01,0.0001,11.6729,2000,7.24116,7.66618,3.56159,7.23026,0,0,1590.14,640,0.000365952,0.0221999,0.0419838,0.0197252,0.0938124,0.0949304,0.000494591,-0.0197252,-0.022888,0,0.00674115,2.56214,0.100708,804.837
27,0.01,0.0001,6.66364,0,0,0,0,0,0,0,0,640,-0.00047689,0.0233796,0.0057263,-0.0176533,-0.043501,0.100111,0.000795383,-0.0141856,-0.0165924,0,0.00615846,2.57639,0.104879,823.736
28,0.01,0.0001,11.8964,2000,7.63948,7.81621,3.00801,7.63495,0,0,1566.41,640,0.00031584,0.0239138,0.0470167,0.023095,0.0455757,0.0955027,0.000332218,-0.016881,-0.0186389,0,0.00646571,2.59953,0.102227,836.189
29,0.01,0.0001,8.84801,245,6.69215,9.2366,2.46809,6.62716,2,1,233.223,640,-0.000518869,0.0253461,0.00602253,-0.0193236,-0.0194501,0.0970805,0.000512094,-0.00599685,-0.00741311,0,0.00658847,2.64095,0.137596,857.456
30,0.01,0.0001,8.93407,1000,3.59496,3.61902,1.52722,3.59435,0,0,675.078,640,-4.72887e-05,0.0260664,0.0272276,0.00120428,0.0446591,0.0976449,0.000164814,0.00314412,0.00244246,0,0.0068206,2.64156,0.104328,875.891
31,0.01,0.0001,11.7852,2000,7.49321,7.51252,2.965,7.49272,0,0,1517.92,640,0.000258981,0.026989,0.0423041,0.0152305,-0.0415588,0.0979501,0.000964803,-0.0279787,-0.0300771,0,0.00646195,2.63759,0.106024,887.982
32,0.01,0.0001,10.3917,904,7.41222,8.00163,4.56288,7.39712,2,1,811.383,640,8.35107e-05,0.0283505,0.0135674,-0.0147831,0.0675176,0.103651,0.000290234,0.00461862,0.00367669,0,0.00692191,2.63274,0.144769,918.423
33,0.01,0.0001,8.73924,743.333,5.11137,5.47717,2.44151,5.102,1.33333,0.666667,586.08,640,0.00040807,0.0287065,0.0222838,-0.00642275,0.0713526,0.100265,0.00102475,-0.00838263,-0.00976054,0,0.00722216,2.57972,0.143086,955.898
34,0.01,0.0001,9.20665,835,4.03633,4.25809,1.67036,4.03065,0.5,0.25,619.306,640,0.000248493,0.0294576,0.0290208,-0.000468059,0.0395206,0.1119,0.000815945,-0.0139561,-0.01585,0,0.00690838,2.5592,0.126746,975.505
35,0.01,0.0001,11.7489,2000,8.02745,8.10648,2.44074,8.02542,0,0,1402.07,640,0.000873995,0.0303403,0.0621739,0.031728,0.0334167,0.113085,0.00147034,-0.0340033,-0.0372411,0,0.00661501,2.54656,0.136782,987.774
36,0.01,0.0001,11.8437,2000,8.00474,8.1439,2.88753,8.00118,0,0,1428.33,640,0.000888981,0.0318346,0.0624887,0.0305123,-0.00252184,0.109015,0.00117527,-0.0305123,-0.0335211,0,0.00797098,2.49229,0.114998,1000.07
37,0.01,0.0001,13.0915,2000,8.47227,8.279,2.47129,8.47723,0,0,1379.89,640,0.000955813,0.0328299,0.074575,0.0418931,0.0461885,0.110709,0.00211573,-0.0418931,-0.0455038,0,0.00695998,2.44257,0.113139,1013.59
38,0.01,0.0001,6.71755,0,0,0,0,0,0,0,0,640,-0.000716509,0.0345825,0.00455055,-0.030032,-0.188433,0.113718,0.00132113,-0.00660411,-0.00837431,0,0.00750742,2.33313,0.153702,1038.56
39,0.01,0.0001,9.75817,1333.33,5.51702,5.51486,1.70589,5.51708,0,0,918.157,640,0.000386181,0.034703,0.050481,0.0158121,0.0153718,0.114609,0.00166206,-0.0376841,-0.0406334,0,0.00842674,2.23495,0.115906,1050.85
