step,max_kl,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,collisions,collisions_human,fuel,circumference,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
0,0.01,0.0001,14.6623,2000,7.20813,7.30124,4.02292,7.20574,0,0,1811.76,640,-0.00311704,-3.06462e-05,1.80298,1.80301,6.47899e-05,0.0620499,8.53889,-1.80301,-1.83179,0,0.00528163,2.88507,0.271911,16.9433
1,0.01,0.0001,9.29724,530,7.70814,7.66314,3.5398,7.70929,2,1,431.875,640,-2.03773e-05,0.000930851,0.636347,0.635416,-1.79685e-05,0.0625072,0.98176,-0.626593,-0.6307,0,0.00482021,2.88534,0.161529,40.7184
2,0.01,0.0001,14.7757,2000,7.16714,7.23804,3.65538,7.16532,0,0,1728.87,640,0.000182993,0.00131214,0.593832,0.59252,-0.000315206,0.0764158,0.846762,-0.564027,-0.570581,0,0.00491641,2.87897,0.184304,56.6666
3,0.01,0.0001,14.9832,2000,7.18425,7.20657,4.0355,7.18368,0,0,1869.54,640,0.000113044,0.00249373,0.571892,0.569399,-0.000413231,0.0816951,0.938353,-0.569399,-0.576309,0,0.00521206,2.87478,0.181036,72.1362
4,0.01,0.0001,10.5932,515,7.47039,7.55362,3.78643,7.46826,2,1,452.736,640,-0.00017308,0.0032684,0.584149,0.58088,-0.00016822,0.0679445,1.13772,-0.609233,-0.615429,0,0.00540525,2.86239,0.210974,96.4621
5,0.01,0.0001,13.1843,1516.5,7.33587,7.41013,3.86951,7.33397,2,1,1332.41,640,0.000106456,0.00362779,0.623344,0.619716,-0.00048093,0.0664591,1.09037,-0.577312,-0.584928,0,0.00561589,2.85461,0.219806,120.525
6,0.01,0.0001,12.4119,1252.5,7.29324,7.33446,3.92541,7.29218,1,0.5,1153.29,640,-2.78049e-05,0.00439789,0.56619,0.561793,-0.000451016,0.068239,0.991498,-0.592029,-0.599301,0,0.00524989,2.85429,0.194701,135.408
7,0.01,0.0001,14.0667,1514,7.26934,7.27961,4.01088,7.26908,2,1,1418.12,640,3.28871e-05,0.00554394,0.565222,0.559678,-0.000534989,0.0895486,1.36224,-0.732989,-0.738268,0,0.00484741,2.85352,0.235892,163.615
8,0.01,0.0001,14.0719,1775,7.70303,7.86454,3.24318,7.69889,1,0.5,1350.04,640,0.000365167,0.00586321,0.860386,0.854523,-0.000522606,0.0772816,1.31876,-0.804504,-0.812239,0,0.00458046,2.85361,0.200476,178.704
9,0.01,0.0001,16.3353,2000,7.50332,7.58653,3.22669,7.50119,0,0,1545.19,640,0.000188221,0.00705025,0.679364,0.672313,-0.000605501,0.088367,1.13786,-0.672313,-0.6795,0,0.00505984,2.84665,0.190289,195.483
10,0.01,0.0001,14.7981,2000,7.42359,7.31481,3.0003,7.42638,0,0,1496.06,640,6.57603e-05,0.00788147,0.562552,0.554671,-0.000616605,0.11395,1.00106,-0.554671,-0.563619,0,0.00575624,2.8344,0.365319,210.992
11,0.01,0.0001,15.639,2000,7.39141,7.39774,3.7115,7.39125,0,0,1716.24,640,0.000157781,0.00870208,0.652384,0.643682,-0.000821387,0.138548,1.13238,-0.643682,-0.650558,0,0.00522459,2.82467,0.386077,227.392
12,0.01,0.0001,13.4031,1538,7.33123,7.39888,3.42946,7.3295,2,1,1226.81,640,-2.42453e-05,0.00956942,0.534685,0.525116,-0.000921044,0.1335,1.04157,-0.598118,-0.602601,0,0.00579961,2.81032,0.405024,256.736
13,0.01,0.0001,13.4709,1515,7.48085,7.61951,3.39262,7.47729,1,0.5,1172.1,640,5.92618e-05,0.00994658,0.636149,0.626203,-0.000864528,0.091522,0.933286,-0.488698,-0.493471,0,0.00609471,2.78716,0.192368,283.82
14,0.01,0.0001,14.6339,2000,7.21501,7.22706,3.59788,7.21471,0,0,1728.46,640,-1.52943e-06,0.0108163,0.503651,0.492835,-0.00123184,0.100986,1.00595,-0.573494,-0.582461,0,0.00518201,2.78569,0.364565,299.248
15,0.01,0.0001,12.9425,1063,7.28454,6.97537,4.05746,7.29246,2,1,944.602,640,-0.000363531,0.0121188,0.299899,0.28778,-0.00104862,0.0935025,0.922867,-0.436856,-0.443699,0,0.00583704,2.79749,0.205781,327.433
16,0.01,0.0001,15.0296,2000,7.28172,7.382,3.90033,7.27915,0,0,1794.6,640,9.41619e-05,0.0124819,0.594769,0.582288,-0.00141986,0.0978074,1.0327,-0.613565,-0.621795,0,0.0052506,2.79396,0.208968,343.388
17,0.01,0.0001,8.73711,0,0,0,0,0,0,0,0,640,-0.000577487,0.0138005,0.415366,0.401566,-0.000810431,0.10695,1.05201,-0.497336,-0.504072,0,0.00517131,2.79991,0.22985,367.57
18,0.01,0.0001,12.4554,1000,3.62925,3.63191,1.88495,3.62918,0,0,883.354,640,-0.000235383,0.0141966,0.512185,0.497989,-0.00118199,0.119746,1.13593,-0.489658,-0.493852,0,0.00504047,2.79725,0.406484,413.506
19,0.01,0.0001,11.1095,764.5,7.4881,6.26675,3.02432,7.51716,2,1,677.638,640,-0.000236783,0.0148294,0.507983,0.493154,-0.00109478,0.0989937,1.0774,-0.450904,-0.45615,0,0.00559484,2.80386,0.642958,447.367
20,0.01,0.0001,11.6072,859.667,7.55134,5.92193,2.47753,7.58739,2,1,755.739,640,-0.000214183,0.0157508,0.50903,0.49328,-0.00121232,0.162499,1.179,-0.57875,-0.58446,0,0.0051585,2.79799,0.277386,482.884
21,0.01,0.0001,12.1151,1011.33,7.3214,7.43782,4.0266,7.31842,2,1,922.737,640,-0.000101205,0.0165914,0.551492,0.534901,-0.00138828,0.126157,1.04071,-0.478773,-0.484415,0,0.00510535,2.79943,0.252565,532.412
22,0.01,0.0001,11.4704,635.5,5.58948,4.21282,2.04098,5.61648,1,0.5,572.094,640,-0.000363098,0.017444,0.431944,0.4145,-0.00134617,0.135442,1.19113,-0.486455,-0.489877,0,0.00464222,2.79521,0.398799,640.895
23,0.01,0.0001,9.33467,178.091,2.70063,2.2146,1.16211,2.71135,0.727273,0.363636,171.423,640,-0.000342512,0.0181883,0.515615,0.497427,-0.00120576,0.133688,1.24093,-0.462238,-0.46506,0,0.00586195,2.7711,0.585653,836.907
24,0.01,0.0001,8.55794,110.909,1.02313,0.765508,0.387357,1.0274,0.272727,0.136364,106.692,640,-0.000567729,0.0190815,0.433289,0.414207,-0.00121281,0.16816,1.28285,-0.523172,-0.524337,0,0.0049277,2.77856,1.71849,1592.81
25,0.01,0.0001,8.39359,33.5402,0.507469,0.443581,0.239806,0.508594,0.137931,0.0689655,32.5391,640,-0.000400126,0.0199515,0.518972,0.49902,-0.00126062,0.186456,1.40344,-0.638734,-0.64055,0,0.00576133,2.81715,0.908474,1930.89
26,0.01,0.0001,8.59236,63.2105,0.970626,0.846893,0.468636,0.973602,0.263158,0.131579,61.3629,640,-0.000185976,0.0208631,0.635631,0.614768,-0.0012821,0.214756,1.38383,-0.669751,-0.672289,0,0.00414982,2.81871,0.587997,2114.17
27,0.01,0.0001,9.25353,128,2.37461,,,2.37891,0.631579,0.315789,125.324,640,-5.72133e-05,0.0218104,0.68869,0.66688,-0.0013629,0.224077,1.37433,-0.704666,-0.707845,0,0.00579463,2.78826,0.945008,2216.94
28,0.01,0.0001,9.69776,347.6,3.77315,2.7296,1.32122,3.79505,0.8,0.4,330.804,640,-1.57415e-05,0.0228483,0.689269,0.666421,-0.00155139,0.269972,1.34834,-0.607323,-0.609268,0,0.00480218,2.79986,0.97765,2590.61
29,0.01,0.0001,8.70723,96.9512,0.70755,0.725109,0.393474,0.7071,0.146341,0.0731707,90.4246,640,-0.000245585,0.0238286,0.5995,0.575672,-0.00152281,0.294858,1.37652,-0.631758,-0.633619,0,0.00543676,2.80391,1.04994,2935.83
30,0.01,0.0001,8.58414,52.2105,0.57125,0.582848,0.313906,0.570953,0.157895,0.0789474,49.5418,640,-0.000207195,0.0248819,0.621068,0.596186,-0.00158653,0.268031,1.38367,-0.627021,-0.629701,0,0.00453489,2.8023,0.785594,3159.44
31,0.01,0.0001,8.41783,96.04,1.16267,1.21978,0.704392,1.16121,0.32,0.16,94.8313,640,-0.000218946,0.0259855,0.616838,0.590853,-0.00168823,0.32239,1.42608,-0.653035,-0.655227,0,0.00451317,2.79864,0.871783,3414.16
32,0.01,0.0001,8.62831,85.5,1.03287,1.09014,0.627032,1.0314,0.285714,0.142857,85.9416,640,-0.00014792,0.0270839,0.660796,0.633712,-0.00166717,0.333386,1.37065,-0.591587,-0.592725,0,0.00456448,2.80375,2.01599,4222.43
33,0.01,0.0001,8.18601,25.7391,0.392368,0.420722,0.237174,0.391642,0.108696,0.0543478,25.7782,640,-0.000287435,0.0282196,0.590321,0.562101,-0.00184729,0.398413,1.44181,-0.6828,-0.68552,0,0.00526511,2.78729,0.925252,4493.11
