step,max_kl,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,collisions,collisions_human,fuel,circumference,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
0,0.01,0.0001,13.2664,2000,7.80627,7.84956,2.99004,7.80516,0,0,1465.83,640,-0.00294051,0.00126744,0.399501,0.398233,0.000112117,0.0956798,0.289093,-0.398233,-0.413487,0,0.00518626,2.88519,0.100405,15.354
1,0.01,0.0001,12.4071,2000,7.50735,7.45752,3.3533,7.50863,0,0,1544.46,640,-0.000126202,0.00223422,0.116462,0.114227,-0.00157115,0.0567906,0.0190951,-0.114227,-0.117146,0,0.00496068,2.88297,0.0720036,27.9939
2,0.01,0.0001,7.60474,1,8.12801,,,8.12801,2,1,0.996885,640,-0.000577405,0.00304196,0.0882132,0.0851712,-0.00207736,0.0568459,0.0266749,-0.133971,-0.135891,0,0.00483626,2.87646,0.0901513,62.4267
3,0.01,0.0001,13.4055,1844.67,7.39872,7.38713,3.73025,7.39902,0.666667,0.333333,1562.9,640,4.47896e-05,0.00331216,0.14103,0.137717,-0.00136059,0.0483893,0.0209688,-0.119937,-0.123358,0,0.00506998,2.87418,0.0809042,76.4753
4,0.01,0.0001,13.295,2000,8.1527,8.33523,2.16115,8.14802,0,0,1301.79,640,0.000599392,0.00458072,0.303195,0.298614,0.000472257,0.0618532,0.105606,-0.298614,-0.308438,0,0.00590167,2.86174,0.0777192,90.0233
5,0.01,0.0001,12.297,1523,7.80391,8.01055,3.22923,7.79862,2,1,1184.94,640,6.27841e-07,0.00544824,0.140954,0.135506,-0.00216081,0.0644283,0.0504623,-0.191502,-0.195652,0,0.00533389,2.85594,0.0933189,115.201
6,0.01,0.0001,13.3488,2000,7.90446,7.78776,2.70853,7.90745,0,0,1482.4,640,0.000102243,0.00585619,0.167542,0.161686,-0.00111225,0.0605837,0.0160002,-0.0824532,-0.0859132,0,0.00555339,2.85554,0.0905132,129.729
7,0.01,0.0001,13.5909,2000,7.52509,7.47547,2.88226,7.52636,0,0,1513.04,640,8.25666e-05,0.00709261,0.171544,0.16445,-0.00261775,0.0713284,0.032946,-0.16445,-0.169036,0,0.00556849,2.84602,0.0809953,143.602
8,0.01,0.0001,8.05647,11,8.02012,4.88071,0.430842,8.09347,2,1,10.598,640,-0.000632665,0.0079727,0.0809286,0.0729559,-0.00319996,0.0956461,0.0205683,-0.108004,-0.110966,0,0.00563417,2.84039,0.132015,165.875
9,0.01,0.0001,13.5313,2000,7.64656,7.46999,2.83115,7.65109,0,0,1557.48,640,5.79524e-05,0.00830293,0.161089,0.152784,-0.00259984,0.0713855,0.0411705,-0.179865,-0.183884,0,0.00470086,2.8391,0.0812414,179.475
10,0.01,0.0001,14.5899,2000,8.25692,8.35692,1.91009,8.25436,0,0,1241.77,640,0.000337164,0.00952574,0.25812,0.248598,0.000358303,0.059876,0.0773998,-0.248598,-0.253523,0,0.00491281,2.83942,0.0776439,194.338
11,0.01,0.0001,12.6524,2000,6.92698,6.53001,3.0426,6.93716,0,0,1634.4,640,-0.00048878,0.0104951,0.0117804,0.00128815,-0.00690705,0.0629725,0.00575072,-0.00128815,-0.00348205,0,0.00490339,2.84426,0.0772631,207.265
12,0.01,0.0001,13.7128,2000,8.2994,8.23726,2.07176,8.30099,0,0,1303.34,640,0.000564261,0.0111449,0.265917,0.254771,-7.33821e-05,0.0610495,0.0899146,-0.254771,-0.261614,0,0.0047977,2.84711,0.0799558,221.24
13,0.01,0.0001,14.6544,2000,7.36872,7.36273,3.48629,7.36888,0,0,1571.39,640,-0.000608163,0.0122159,0.0404702,0.0282458,-0.00569733,0.0619862,0.0098291,-0.0282458,-0.0304937,0,0.00509203,2.83783,0.0795853,236.218
14,0.01,0.0001,8.66238,543,6.94678,6.72886,4.56091,6.95236,2,1,572.876,640,-0.000496188,0.0128895,0.0714974,0.0586078,-0.00757241,0.0633709,0.0148459,-0.0873298,-0.0894533,0,0.00451721,2.83503,0.081625,257.32
15,0.01,0.0001,10.5526,1011.5,7.38794,7.48745,4.04702,7.38539,2,1,925.348,640,-0.000166169,0.0132116,0.123505,0.110294,-0.00443945,0.0584327,0.0230147,-0.123998,-0.126598,0,0.00601523,2.81781,0.0972862,280.141
16,0.01,0.0001,12.1373,1549.5,7.71472,7.74586,2.83853,7.71392,1,0.5,1187.12,640,-1.26739e-05,0.0139856,0.14647,0.132479,-0.00487712,0.0922908,0.0407797,-0.16436,-0.167441,0,0.0048846,2.81767,0.315867,307.169
17,0.01,0.0001,14.3907,2000,7.57195,7.50909,3.12918,7.57356,0,0,1518.31,640,-6.42308e-05,0.0148018,0.127144,0.11234,-0.00418906,0.122247,0.00773063,-0.0365175,-0.0384643,0,0.00561427,2.79618,0.0843813,321.007
18,0.01,0.0001,13.4558,2000,7.93821,7.74724,2.71252,7.9431,0,0,1511.31,640,0.000209257,0.0159823,0.185901,0.16992,-0.00593703,0.070065,0.0420877,-0.16992,-0.172986,0,0.00413844,2.80212,0.0883875,334.759
19,0.01,0.0001,6.44242,0,0,0,0,0,0,0,0,640,-0.00101188,0.0167945,0.0520458,0.0352513,-0.013664,0.076715,0.0113426,-0.0594855,-0.0621534,0,0.00660761,2.77254,0.10202,355.944
20,0.01,0.0001,14.2459,2000,7.48121,7.37449,3.01205,7.48395,0,0,1484.35,640,-6.85129e-05,0.0172066,0.139054,0.121847,-0.00383454,0.0973599,0.0409716,-0.175301,-0.178796,0,0.00489958,2.76214,0.10569,370.563
21,0.01,0.0001,6.96998,0,0,0,0,0,0,0,0,640,-0.00127442,0.0186064,0.0394537,0.0208473,-0.00368829,0.0758166,0.0173373,-0.0909816,-0.0942663,0,0.00602138,2.75859,0.0972774,392.237
22,0.01,0.0001,10.4732,1000,3.58255,3.59135,1.73783,3.58232,0,0,792.891,640,-0.000754764,0.0188579,0.0783706,0.0595091,-0.010331,0.0829871,0.0314741,-0.111802,-0.114778,0,0.00527123,2.77664,0.155373,413.321
23,0.01,0.0001,13.4785,2000,7.69696,7.62333,2.85141,7.69884,0,0,1453.87,640,0.000145804,0.0195938,0.182912,0.163314,-0.00472653,0.103826,0.0366622,-0.170865,-0.174615,0,0.00463862,2.78183,0.138965,426.91
24,0.01,0.0001,7.15179,0,0,0,0,0,0,0,0,640,-0.00118027,0.0210309,0.0413228,0.0202919,-0.0125897,0.083828,0.0366956,-0.133467,-0.137088,0,0.00488232,2.78946,0.116751,465.445
25,0.01,0.0001,11.1649,1235.75,5.89758,6.02763,2.45238,5.89425,1,0.5,953.763,640,-4.51183e-05,0.0211472,0.170648,0.149501,-0.00397968,0.0784042,0.0678237,-0.211581,-0.21892,0,0.00596716,2.76412,0.109262,479.816
26,0.01,0.0001,8.60621,0,0,0,0,0,0,0,0,640,-0.000507411,0.0227897,0.0825022,0.0597124,-0.014834,0.0919933,0.0196393,-0.0861575,-0.088426,0,0.0054175,2.76096,0.123021,512.133
27,0.01,0.0001,12.6594,1374.33,7.5676,7.73488,3.66202,7.56332,1.33333,0.666667,1077.75,640,-7.14526e-05,0.0230858,0.128168,0.105085,-0.00573938,0.0808392,0.0211963,-0.11412,-0.117168,0,0.00526248,2.76203,0.111144,536.744
28,0.01,0.0001,11.1591,1266.5,7.50852,7.81444,4.32974,7.50069,1,0.5,986.88,640,3.10731e-05,0.0241173,0.181903,0.157781,-0.00318059,0.0843903,0.0576776,-0.210096,-0.216295,0,0.00537245,2.73949,0.108376,550.199
29,0.01,0.0001,13.6477,2000,7.61324,7.79662,3.44352,7.60854,0,0,1565.9,640,0.000208452,0.0255543,0.216043,0.190491,-0.00867551,0.0949275,0.0433617,-0.190491,-0.195892,0,0.00539649,2.72981,0.120755,564.235
30,0.01,0.0001,7.8374,0,0,0,0,0,0,0,0,640,-0.00176357,0.0274356,-0.0154694,-0.0429049,0.00212918,0.0958984,0.0230348,-0.0943993,-0.0961141,0,0.00516083,2.71884,0.138413,610.871
31,0.01,0.0001,9.3806,613.8,4.4625,4.69643,2.41829,4.45651,1.2,0.6,542.735,640,-0.000290639,0.0269553,0.118592,0.0916368,-0.00944442,0.102719,0.0126787,-0.062835,-0.0645839,0,0.00588101,2.68612,0.124026,641.264
32,0.01,0.0001,10.3475,1000,4.93389,5.03753,2.57342,4.93123,0.666667,0.333333,868.24,640,-0.000295507,0.0281875,0.112401,0.0842165,-0.0104934,0.0933975,0.0156875,-0.0591211,-0.0608574,0,0.00705014,2.64406,0.129309,676.372
