step,max_kl,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,collisions,collisions_human,fuel,circumference,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
0,0.01,0.0001,13.0354,2000,7.40221,7.25821,3.42439,7.40591,0,0,1655.52,640,-0.00318285,0.00151191,0.180125,0.17861,0.00040983,0.0832961,0.0673726,-0.17861,-0.187514,0,0.00505887,2.88537,0.117721,15.3291
1,0.01,0.0001,7.52073,22,7.70428,4.85683,0.908295,7.77406,2,1,18.4363,640,-0.000288913,0.00246683,0.0552975,0.0528307,0.00433277,0.0608754,0.0114139,-0.0869295,-0.0895595,0,0.00484094,2.88483,0.0737085,44.7295
2,0.01,0.0001,11.1574,1062,7.09896,7.43834,4.18005,7.09027,2,1,906.013,640,0.000153304,0.00270265,0.0847886,0.082086,0.00172599,0.045147,0.00623064,-0.0572414,-0.0590959,0,0.00468064,2.88271,0.0786819,84.9066
3,0.01,0.0001,9.45943,713.5,5.44211,5.00477,1.97892,5.45252,1,0.5,559.732,640,-0.000561362,0.00354922,0.0488259,0.0452773,0.00376744,0.0551439,0.010419,-0.0837895,-0.0854764,0,0.00428179,2.88013,0.109565,118.347
4,0.01,0.0001,10.4105,884.667,5.02616,5.2018,2.11934,5.02167,0.666667,0.333333,703.26,640,0.000114843,0.00435444,0.0810395,0.0766837,0.00523977,0.0607913,0.00847452,-0.0709165,-0.0723952,0,0.00579925,2.86249,0.117972,187.614
5,0.01,0.0001,8.54806,409.5,3.73985,3.65102,1.54139,3.74154,1,0.5,346.426,640,-0.000210071,0.00501848,0.0662505,0.061232,0.0052756,0.0693,0.0226881,-0.117754,-0.120906,0,0.00551487,2.85106,0.128664,216.149
6,0.01,0.0001,9.20439,666.667,2.76084,2.72779,0.87683,2.76168,0,0,478.384,640,5.07845e-05,0.00595749,0.0924127,0.0864517,0.00355393,0.0721689,0.00527775,-0.0567767,-0.058568,0,0.00553705,2.84672,0.117503,253.359
7,0.01,0.0001,8.66463,523,3.49985,3.70944,2.01108,3.49449,1,0.5,464.977,640,-0.000257238,0.00677584,0.0584597,0.0516839,0.00304838,0.0796679,0.0283549,-0.14022,-0.145628,0,0.00597422,2.83916,0.187049,273.671
8,0.01,0.0001,9.86055,1000,3.94837,4.01186,1.81187,3.94674,0,0,805.038,640,4.19617e-05,0.00778411,0.105162,0.0973824,-0.000754061,0.092923,0.0164065,-0.102397,-0.1055,0,0.00494548,2.83706,0.10574,294.101
9,0.01,0.0001,10.1985,1000,3.68815,3.69802,1.74213,3.6879,0,0,818.309,640,-3.56096e-05,0.00865342,0.0931939,0.0845428,0.00708632,0.107895,0.0067994,-0.0627794,-0.0641207,0,0.00485283,2.83229,0.111487,332.19
10,0.01,0.0001,9.4258,543.75,5.62838,5.57946,2.25918,5.6293,1.5,0.75,457.583,640,-0.000186351,0.00933735,0.0674929,0.0581556,0.000320284,0.121379,0.0065052,-0.0640132,-0.0658716,0,0.00501991,2.83046,0.121417,379.311
11,0.01,0.0001,10.619,867.6,5.94125,6.3096,2.39081,5.93187,1.2,0.6,702.479,640,-4.6285e-05,0.0101392,0.078508,0.0683696,0.00189641,0.0880939,0.0117159,-0.0987284,-0.102226,0,0.00493061,2.82924,0.112734,394.07
12,0.01,0.0001,10.4519,978,7.71047,7.8795,4.47036,7.70614,2,1,907.869,640,0.000564246,0.0115731,0.12805,0.116476,0.010787,0.104399,0.0121255,-0.0789041,-0.0809838,0,0.0054124,2.81092,0.132523,433.885
13,0.01,0.0001,8.90183,628.25,3.76147,3.79354,1.98749,3.76065,0.5,0.25,484.146,640,-0.000687048,0.012079,0.0444573,0.0323814,-0.00152153,0.0897998,0.00768031,-0.0617154,-0.0632844,0,0.00485036,2.81221,0.21669,486.095
14,0.01,0.0001,9.05422,541,5.00813,5.11139,2.74614,5.00549,1.33333,0.666667,447.737,640,-9.63476e-05,0.0127431,0.0721299,0.0593868,-0.00106486,0.122923,0.00632347,-0.0612616,-0.0627462,0,0.00515306,2.7912,0.163848,539.304
15,0.01,0.0001,7.85311,180,2.51172,2.69803,1.44467,2.50696,0.666667,0.333333,150.081,640,-0.000309121,0.0136537,0.0619694,0.0483157,0.00130115,0.141308,0.023181,-0.114807,-0.118306,0,0.00576739,2.76156,0.128003,569.494
16,0.01,0.0001,10.8225,993,7.61546,7.93392,3.96781,7.60731,1.33333,0.666667,803.705,640,0.000405873,0.0145459,0.122715,0.108159,0.00335361,0.117108,0.0228138,-0.104809,-0.108281,0,0.00621054,2.76011,0.170459,604.176
