step,max_kl,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,collisions,collisions_human,fuel,circumference,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
23,0.01,0.0001,9.77364,854.8,4.23533,4.53536,2.50854,4.22764,1.2,0.6,746.538,640,-0.000103794,0.0192282,0.0334203,0.0141921,0.047892,0.127649,0.00108117,-0.0202682,-0.021586,0,0.00423773,2.79179,0.233212,838.946
24,0.01,0.0001,11.2511,1389.5,7.32362,7.92844,3.23526,7.30813,1,0.5,1066.37,640,0.000290318,0.0203981,0.0499573,0.0295575,-0.0287589,0.139941,0.00454612,-0.0571917,-0.0609499,0,0.00422563,2.79955,0.222594,852.846
25,0.01,0.0001,8.43316,0,0,0,0,0,0,0,0,640,0.00019479,0.0217686,0.0336974,0.0119288,0.10836,0.110455,0.000687385,-0.0127711,-0.0135559,0,0.00396735,2.80047,0.176996,908.804
26,0.01,0.0001,9.95672,800.333,7.14142,7.26352,3.95643,7.13771,1.66667,0.833333,736.907,640,0.000193428,0.0220789,0.0377937,0.0157054,0.0503747,0.112562,0.00146514,-0.0304279,-0.0334176,0,0.00583034,2.77978,0.184687,922.948
27,0.01,0.0001,9.93997,203,5.84562,12.3891,2.33961,5.67864,2,1,211.321,640,-0.000234705,0.0241221,0.0240894,-3.27289e-05,0.0541406,0.117333,0.00128498,-0.0132897,-0.014351,0,0.0056931,2.7498,0.214946,971.527
28,0.01,0.0001,9.5548,792.6,4.3806,4.51181,2.41264,4.37724,1.2,0.6,662.143,640,-2.09665e-05,0.0242857,0.0342035,0.00991782,0.0646771,0.149892,0.00356608,-0.0450573,-0.0474612,0,0.00464331,2.75796,0.243379,998.601
29,0.01,0.0001,11.5162,1000,3.86866,4.0306,1.36626,3.86451,0,0,738.648,640,0.000459949,0.0252648,0.0630044,0.0377379,0.0611919,0.207696,0.00303476,-0.0287332,-0.0303069,0,0.00419714,2.75589,0.231526,1045.03
30,0.01,0.0001,10.1001,904.8,4.27276,4.4534,2.39368,4.26813,0.8,0.4,744.438,640,8.00532e-05,0.0261895,0.0397375,0.0135427,0.00785176,0.161727,0.000659893,0.00118217,-0.000247347,0,0.00673943,2.71116,0.161519,1069.88
31,0.01,0.0001,11.65,1521.5,7.54855,7.71226,3.68253,7.54436,1,0.5,1213.52,640,0.000682876,0.0272477,0.0677896,0.040507,0.0348366,0.170207,0.00537619,-0.064871,-0.0687208,0,0.00463888,2.72517,0.213741,1083.13
32,0.01,0.0001,13.529,2000,8.32301,8.20844,1.98645,8.32595,0,0,1337.27,640,0.0012249,0.0284721,0.112161,0.0836485,0.0344658,0.184287,0.00889381,-0.0836485,-0.0888586,0,0.00524722,2.71943,0.212948,1097.35
33,0.01,0.0001,8.14101,126,7.15687,13.1115,2.88912,7.00536,2,1,115.515,640,-0.000550587,0.0307274,0.0154653,-0.015262,-0.0486605,0.129488,0.00469856,-0.0419632,-0.0462199,0,0.00756852,2.66979,0.197407,1120.79
34,0.01,0.0001,14.1179,2000,7.83619,7.92489,3.33069,7.83392,0,0,1522.76,640,0.000977679,0.0304892,0.0999289,0.0693614,0.033371,0.17425,0.00529588,-0.0660011,-0.0703323,0,0.00481122,2.65836,0.201712,1135.27
35,0.01,0.0001,8.78234,512,7.20638,7.33536,3.89059,7.20308,2,1,447.09,640,8.94962e-05,0.0329821,0.0296757,-0.0033064,0.0396043,0.133317,0.00144385,-0.0247972,-0.0263879,0,0.00437696,2.6417,0.213272,1158.67
36,0.01,0.0001,11.5167,1257.5,7.3053,7.36328,3.77653,7.30381,1,0.5,1007.09,640,0.000327116,0.0333627,0.0570746,0.0237104,0.038346,0.138595,0.000847409,-0.000786654,-0.00183071,0,0.00396094,2.6476,0.295023,1206.42
37,0.01,0.0001,8.6595,542.6,2.95915,3.22662,1.6006,2.9523,0.8,0.4,470.979,640,-0.00052661,0.0348127,0.0221509,-0.0126618,0.0344903,0.155307,0.00169948,-0.0259275,-0.0274658,0,0.0049023,2.65893,0.227845,1238.35
38,0.01,0.0001,12.974,1832.33,7.71525,7.67381,3.51683,7.71631,0.666667,0.333333,1465.43,640,0.000592338,0.0356328,0.0790004,0.0433749,0.0259884,0.182311,0.00494794,-0.0603715,-0.0651051,0,0.00588884,2.67396,0.207468,1253.79
39,0.01,0.0001,12.9876,2000,7.70749,7.29628,3.11302,7.71803,0,0,1505.38,640,0.000435556,0.0379275,0.0878928,0.0500648,-0.00237294,0.198595,0.00333645,-0.0500648,-0.0532723,0,0.006225,2.64718,0.215133,1267.48
40,0.01,0.0001,9.72447,553,7.30465,7.26426,3.93403,7.30568,2,1,505.889,640,0.000125363,0.0394363,0.0305176,-0.00891866,-0.000397314,0.146224,0.00452503,-0.0430031,-0.0454282,0,0.00429893,2.62969,0.220125,1291.24
41,0.01,0.0001,13.0498,1958.5,7.47336,7.78496,3.69418,7.46538,1,0.5,1579.48,640,0.000398056,0.0397636,0.0742664,0.0345899,0.00200354,0.198287,0.000350164,0.00162188,0.000701579,0,0.00673678,2.61028,0.256845,1320.01
42,0.01,0.0001,13.1626,1713.5,7.28619,7.52382,4.14354,7.2801,2,1,1485.74,640,0.000358622,0.0412086,0.045163,0.00395441,0.0290754,0.200509,0.000427909,-0.00367318,-0.0050132,0,0.00623814,2.63172,0.25472,1343.24
43,0.01,0.0001,11.9653,1477.5,7.57743,7.76397,3.80098,7.57265,1,0.5,1137.47,640,0.00069958,0.0420929,0.0800072,0.037906,0.0567944,0.204742,0.00670805,-0.0720288,-0.0781928,0,0.005702,2.65315,0.294194,1357.53
44,0.01,0.0001,12.9422,2000,7.93435,7.84007,2.55017,7.93677,0,0,1503.37,640,0.00083137,0.0439828,0.114124,0.0701909,0.0240998,0.269476,0.00591808,-0.0701909,-0.0746288,0,0.00607984,2.61685,0.221482,1371.32
45,0.01,0.0001,8.08025,0,0,0,0,0,0,0,0,640,-0.000121996,0.0459133,0.0227603,-0.023153,-0.0181668,0.225626,0.00267325,-0.028319,-0.0306477,0,0.00491991,2.60019,0.307863,1395.98
46,0.01,0.0001,11.0514,1000,3.92791,3.91866,1.23463,3.92815,0,0,747.173,640,9.87465e-05,0.046386,0.0598836,0.0134595,-0.0278843,0.225651,0.00112501,-0.0110545,-0.0125396,0,0.00592418,2.57927,0.217246,1417.03
47,0.01,0.0001,10.8393,1162.5,7.24643,8.63507,3.94748,7.21093,1,0.5,1019.45,640,0.0001306,0.0479378,0.0514552,0.00347095,-0.0396535,0.169291,0.00299747,-0.0290556,-0.0328942,0,0.0045384,2.61049,0.227145,1439.32
48,0.01,0.0001,10.2012,1000,4.00669,4.03109,1.60876,4.00606,0,0,750.223,640,0.00024414,0.0489174,0.0629532,0.0139426,-0.0439978,0.172403,0.00138438,-0.0109592,-0.0120836,0,0.00550739,2.60547,0.221081,1484.11
49,0.01,0.0001,10.855,905.25,5.61044,5.92139,2.9659,5.60248,1,0.5,705.83,640,0.000233329,0.0503176,0.0548979,0.00461032,0.00997609,0.198284,0.00235684,-0.0275203,-0.0297934,0,0.00468485,2.58969,0.248905,1506.51
50,0.01,0.0001,10.1191,1000,3.7872,3.79056,1.7819,3.78712,0,0,783.441,640,1.7776e-05,0.0518297,0.0588902,0.00699939,-0.0696504,0.179148,0.00106478,-0.00369427,-0.00509731,0,0.00561713,2.60704,0.238344,1527.61
51,0.01,0.0001,11.3341,1000,3.62603,3.68147,2.12824,3.62461,0,0,912.604,640,-4.63723e-05,0.0536412,0.0471912,-0.00647257,-0.103435,0.197422,0.00217425,-0.0191875,-0.0217452,0,0.00550244,2.60252,0.22203,1550.63
52,0.01,0.0001,9.88969,1000,3.75079,3.70303,1.73433,3.75202,0,0,779.346,640,-0.000113882,0.0546163,0.0593019,0.00474751,-0.0595251,0.186353,0.00292023,-0.0269262,-0.0295002,0,0.00617734,2.58425,0.240705,1571.77
